timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,QGL,class
2014-03-25 17:03:04,0.0,12608130.0,118.6839,2118789.0,82.60818,4577584.0,0.0,0.0
2014-03-25 17:03:05,0.0,12608130.0,118.68379999999999,2118789.0,82.608175,4577573.5,0.0,0.0
2014-03-25 17:03:06,0.0,12608130.0,118.68373333333334,2118789.0,82.60817,4577563.333333333,0.0,0.0
2014-03-25 17:03:07,0.0,12608130.0,118.683675,2118789.0,82.608165,4577553.25,0.0,0.0
2014-03-25 17:03:08,0.0,12608130.0,118.68361999999999,2118789.0,82.608162,4577543.0,0.0,0.0
2014-03-25 17:03:09,0.0,12608130.0,118.68356666666666,2118789.0,82.60815833333334,4577532.833333333,0.0,0.0
2014-03-25 17:03:10,0.0,12608130.0,118.68351428571428,2118789.0,82.60815428571428,4577522.714285715,0.0,0.0
2014-03-25 17:03:11,0.0,12608130.0,118.6834625,2118789.0,82.60815,4577512.5,0.0,0.0
2014-03-25 17:03:12,0.0,12608130.0,118.6834111111111,2118789.0,82.60814555555555,4577502.333333333,0.0,0.0
2014-03-25 17:03:13,0.0,12608130.0,118.68336,2118789.0,82.608141,4577492.2,0.0,0.0
2014-03-25 17:03:14,0.0,12608130.0,118.68330909090909,2118789.0,82.60813636363636,4577482.0,0.0,0.0
2014-03-25 17:03:15,0.0,12608130.0,118.68325833333334,2118789.0,82.6081325,4577471.833333333,0.0,0.0
2014-03-25 17:03:16,0.0,12608130.0,118.68320769230769,2118789.0,82.60812846153847,4577461.692307692,0.0,0.0
2014-03-25 17:03:17,0.0,12608130.0,118.68315714285714,2118789.0,82.6081242857143,4577451.5,0.0,0.0
2014-03-25 17:03:18,0.0,12608130.0,118.68310666666666,2118789.0,82.60812,4577441.333333333,0.0,0.0
2014-03-25 17:03:19,0.0,12608130.0,118.68305624999999,2118789.0,82.60811625,4577431.1875,0.0,0.0
2014-03-25 17:03:20,0.0,12608130.0,118.68300588235294,2118789.0,82.60811235294118,4577421.0,0.0,0.0
2014-03-25 17:03:21,0.0,12608130.0,118.68295555555557,2118789.0,82.60810833333333,4577410.833333333,0.0,0.0
2014-03-25 17:03:22,0.0,12608130.0,118.68290526315789,2118789.0,82.6081042105263,4577400.631578947,0.0,0.0
